仕入日,仕入先コード,仕入担当者コード,仕入区分,SKU,売価（USD）,仕入金額（JPY・税抜）,ブランドコード,モデル名,型番（Ref.）,シリアルNo.,素材コード,駆動方式コード,ベルト素材コード,特徴・備考
2026-08-12,S003,,2,SAMPLE-PUR-202608-021,8175,2200,BRD-005,ポルトギーゼ クロノグラフ,IW371604,SAMPLE-SN-301-021,M01,D01,BLT-002,仕入登録動作確認用サンプル 021
2026-08-12,S003,,2,SAMPLE-PUR-202608-022,8350,2475,BRD-005,パイロット・ウォッチ マークXX,IW328201,SAMPLE-SN-302-022,M01,D01,BLT-002,仕入登録動作確認用サンプル 022
2026-08-12,S003,,2,SAMPLE-PUR-202608-023,8525,2750,BRD-005,アクアタイマー,IW328801,SAMPLE-SN-303-023,M01,D01,BLT-003,仕入登録動作確認用サンプル 023
2026-08-12,S003,,2,SAMPLE-PUR-202608-024,8700,3025,BRD-005,インヂュニア,IW328903,SAMPLE-SN-304-024,M01,D01,BLT-001,仕入登録動作確認用サンプル 024
2026-08-12,S003,,2,SAMPLE-PUR-202608-025,8875,3300,BRD-005,ビッグ・パイロット,IW501001,SAMPLE-SN-305-025,M01,D01,BLT-002,仕入登録動作確認用サンプル 025
2026-08-12,S003,,2,SAMPLE-PUR-202608-026,9050,3575,BRD-006,ナビタイマー B01,AB0138211B1P1,SAMPLE-SN-306-026,M01,D01,BLT-002,仕入登録動作確認用サンプル 026
2026-08-12,S003,,2,SAMPLE-PUR-202608-027,9225,3850,BRD-006,スーパーオーシャン,A17375211B1S1,SAMPLE-SN-307-027,M01,D01,BLT-003,仕入登録動作確認用サンプル 027
2026-08-12,S003,,2,SAMPLE-PUR-202608-028,9400,4125,BRD-006,クロノマット B01,AB0134101B1A1,SAMPLE-SN-308-028,M01,D01,BLT-001,仕入登録動作確認用サンプル 028
2026-08-12,S003,,2,SAMPLE-PUR-202608-029,9575,4400,BRD-007,カレラ クロノグラフ,CBS2210.FC6534,SAMPLE-SN-309-029,M01,D01,BLT-002,仕入登録動作確認用サンプル 029
2026-08-12,S003,,2,SAMPLE-PUR-202608-030,9750,4675,BRD-007,モナコ,CBL2111.FC6453,SAMPLE-SN-310-030,M01,D01,BLT-002,仕入登録動作確認用サンプル 030
