仕入日,仕入先コード,仕入担当者コード,仕入区分,SKU,売価（USD）,仕入金額（JPY・税抜）,ブランドコード,モデル名,型番（Ref.）,シリアルNo.,素材コード,駆動方式コード,ベルト素材コード,特徴・備考
2026-08-11,S002,,1,SAMPLE-PUR-202608-011,6425,563500,BRD-003,ノーチラス,5811/1G-001,SAMPLE-SN-201-011,M03,D01,BLT-001,仕入登録動作確認用サンプル 011
2026-08-11,S002,,1,SAMPLE-PUR-202608-012,6600,582000,BRD-003,アクアノート,5167A-001,SAMPLE-SN-202-012,M01,D01,BLT-003,仕入登録動作確認用サンプル 012
2026-08-11,S002,,1,SAMPLE-PUR-202608-013,6775,600500,BRD-003,カラトラバ,6119R-001,SAMPLE-SN-203-013,M04,D02,BLT-002,仕入登録動作確認用サンプル 013
2026-08-11,S002,,1,SAMPLE-PUR-202608-014,6950,619000,BRD-003,ワールドタイム,5231G-001,SAMPLE-SN-204-014,M03,D01,BLT-002,仕入登録動作確認用サンプル 014
2026-08-11,S002,,1,SAMPLE-PUR-202608-015,7125,637500,BRD-003,年次カレンダー,5205G-013,SAMPLE-SN-205-015,M03,D01,BLT-002,仕入登録動作確認用サンプル 015
2026-08-11,S002,,1,SAMPLE-PUR-202608-016,7300,656000,BRD-004,サントス ドゥ カルティエ,WSSA0037,SAMPLE-SN-206-016,M01,D01,BLT-001,仕入登録動作確認用サンプル 016
2026-08-11,S002,,1,SAMPLE-PUR-202608-017,7475,674500,BRD-004,タンク マスト,WSTA0041,SAMPLE-SN-207-017,M01,D03,BLT-002,仕入登録動作確認用サンプル 017
2026-08-11,S002,,1,SAMPLE-PUR-202608-018,7650,693000,BRD-004,パシャ ドゥ カルティエ,WSPA0012,SAMPLE-SN-208-018,M01,D01,BLT-001,仕入登録動作確認用サンプル 018
2026-08-11,S002,,1,SAMPLE-PUR-202608-019,7825,711500,BRD-004,バロン ブルー,WSBB0040,SAMPLE-SN-209-019,M01,D01,BLT-001,仕入登録動作確認用サンプル 019
2026-08-11,S002,,1,SAMPLE-PUR-202608-020,8000,730000,BRD-004,ドライブ ドゥ カルティエ,WSNM0004,SAMPLE-SN-210-020,M01,D01,BLT-002,仕入登録動作確認用サンプル 020
