仕入日,仕入先コード,仕入担当者コード,仕入区分,SKU,売価（USD）,仕入金額（JPY・税抜）,ブランドコード,モデル名,型番（Ref.）,シリアルNo.,素材コード,駆動方式コード,ベルト素材コード,特徴・備考
2026-08-14,S005,,2,SAMPLE-PUR-202608-041,11675,2200,BRD-001,ヨットマスター40,126622,SAMPLE-SN-501-041,M01,D01,BLT-001,仕入登録動作確認用サンプル 041
2026-08-14,S005,,2,SAMPLE-PUR-202608-042,11850,2475,BRD-002,スピードマスター '57,332.10.41.51.01.001,SAMPLE-SN-502-042,M01,D01,BLT-001,仕入登録動作確認用サンプル 042
2026-08-14,S005,,2,SAMPLE-PUR-202608-043,12025,2750,BRD-003,ゴールデン・エリプス,5738R-001,SAMPLE-SN-503-043,M04,D01,BLT-002,仕入登録動作確認用サンプル 043
2026-08-14,S005,,2,SAMPLE-PUR-202608-044,12200,3025,BRD-004,タンク ルイ カルティエ,WGTA0011,SAMPLE-SN-504-044,M02,D02,BLT-002,仕入登録動作確認用サンプル 044
2026-08-14,S005,,2,SAMPLE-PUR-202608-045,12375,3300,BRD-005,ポートフィノ,IW356501,SAMPLE-SN-505-045,M01,D01,BLT-002,仕入登録動作確認用サンプル 045
2026-08-14,S005,,2,SAMPLE-PUR-202608-046,12550,3575,BRD-006,アベンジャー B01,AB0147101C1A1,SAMPLE-SN-506-046,M01,D01,BLT-001,仕入登録動作確認用サンプル 046
2026-08-14,S005,,2,SAMPLE-PUR-202608-047,12725,3850,BRD-007,フォーミュラ1,CAZ1011.BA0842,SAMPLE-SN-507-047,M01,D03,BLT-001,仕入登録動作確認用サンプル 047
2026-08-14,S005,,2,SAMPLE-PUR-202608-048,12900,4125,BRD-008,キングセイコー,SDKS001,SAMPLE-SN-508-048,M01,D01,BLT-001,仕入登録動作確認用サンプル 048
2026-08-14,S005,,2,SAMPLE-PUR-202608-049,13075,4400,BRD-009,エボリューション9,SLGH005,SAMPLE-SN-509-049,M01,D01,BLT-001,仕入登録動作確認用サンプル 049
2026-08-14,S005,,2,SAMPLE-PUR-202608-050,13250,4675,BRD-010,トラベルGMT,OTHER-G04,SAMPLE-SN-510-050,M01,D01,BLT-005,仕入登録動作確認用サンプル 050
