仕入日,仕入先コード,仕入担当者コード,仕入区分,SKU,売価（USD）,仕入金額（JPY・税抜）,ブランドコード,モデル名,型番（Ref.）,シリアルNo.,素材コード,駆動方式コード,ベルト素材コード,特徴・備考
2026-08-10,S001,,1,SAMPLE-PUR-202608-001,4675,378500,BRD-001,サブマリーナー デイト,126610LN,SAMPLE-SN-101-001,M01,D01,BLT-001,仕入登録動作確認用サンプル 001
2026-08-10,S001,,1,SAMPLE-PUR-202608-002,4850,397000,BRD-001,GMTマスターII,126710BLNR,SAMPLE-SN-102-002,M01,D01,BLT-001,仕入登録動作確認用サンプル 002
2026-08-10,S001,,1,SAMPLE-PUR-202608-003,5025,415500,BRD-001,デイトジャスト36,126234,SAMPLE-SN-103-003,M01,D01,BLT-001,仕入登録動作確認用サンプル 003
2026-08-10,S001,,1,SAMPLE-PUR-202608-004,5200,434000,BRD-001,エクスプローラーI,124270,SAMPLE-SN-104-004,M01,D01,BLT-001,仕入登録動作確認用サンプル 004
2026-08-10,S001,,1,SAMPLE-PUR-202608-005,5375,452500,BRD-001,コスモグラフ デイトナ,126500LN,SAMPLE-SN-105-005,M01,D01,BLT-001,仕入登録動作確認用サンプル 005
2026-08-10,S001,,1,SAMPLE-PUR-202608-006,5550,471000,BRD-002,スピードマスター ムーンウォッチ,310.30.42.50.01.002,SAMPLE-SN-106-006,M01,D02,BLT-001,仕入登録動作確認用サンプル 006
2026-08-10,S001,,1,SAMPLE-PUR-202608-007,5725,489500,BRD-002,シーマスター ダイバー300M,210.30.42.20.03.001,SAMPLE-SN-107-007,M01,D01,BLT-001,仕入登録動作確認用サンプル 007
2026-08-10,S001,,1,SAMPLE-PUR-202608-008,5900,508000,BRD-002,コンステレーション,131.20.39.20.02.001,SAMPLE-SN-108-008,M02,D01,BLT-001,仕入登録動作確認用サンプル 008
2026-08-10,S001,,1,SAMPLE-PUR-202608-009,6075,526500,BRD-002,デ・ヴィル プレステージ,434.13.40.20.02.001,SAMPLE-SN-109-009,M01,D01,BLT-002,仕入登録動作確認用サンプル 009
2026-08-10,S001,,1,SAMPLE-PUR-202608-010,6250,545000,BRD-002,シーマスター アクアテラ,220.10.41.21.03.004,SAMPLE-SN-110-010,M01,D01,BLT-001,仕入登録動作確認用サンプル 010
