"マーキングコード","売価（USD）","形状コード","SKU","仕入金額（JPY・税抜）","ブランドコード","モデル名","型番（Ref.）","シリアルNo.","素材コード","駆動方式コード","ベルト素材コード","特徴・備考"
"MRK-001","9200","TYP-001","CUSTOMS-20260818-001","780000","BRD-001","Submariner","126610LN","CUSTOMS-SERIAL-001","MAT-001","MOV-001","BLT-001","Customs sample 1; complete tag fields; Origin Japan"
"MRK-002","9850","TYP-001","CUSTOMS-20260818-002","855000","BRD-002","Speedmaster","310.30.42.50.01.001","CUSTOMS-SERIAL-002","MAT-002","MOV-002","BLT-002","Customs sample 2; complete tag fields; Origin Japan"
"MRK-003","10500","TYP-001","CUSTOMS-20260818-003","930000","BRD-003","Aquanaut","5167A-001","CUSTOMS-SERIAL-003","MAT-003","MOV-003","BLT-003","Customs sample 3; complete tag fields; Origin Japan"
"MRK-004","11150","TYP-001","CUSTOMS-20260818-004","1005000","BRD-004","Santos","WSSA0018","CUSTOMS-SERIAL-004","MAT-004","MOV-004","BLT-004","Customs sample 4; complete tag fields; Origin Japan"
"MRK-001","11800","TYP-001","CUSTOMS-20260818-005","1080000","BRD-005","Portugieser","IW371604","CUSTOMS-SERIAL-005","MAT-005","MOV-005","BLT-005","Customs sample 5; complete tag fields; Origin Japan"
"MRK-002","12450","TYP-001","CUSTOMS-20260818-006","1155000","BRD-006","Navitimer","AB0138211B1P1","CUSTOMS-SERIAL-006","MAT-006","MOV-001","BLT-001","Customs sample 6; complete tag fields; Origin Japan"
"MRK-003","13100","TYP-001","CUSTOMS-20260818-007","1230000","BRD-007","Carrera","CBS2210.FC6534","CUSTOMS-SERIAL-007","MAT-001","MOV-002","BLT-002","Customs sample 7; complete tag fields; Origin Japan"
"MRK-004","13750","TYP-001","CUSTOMS-20260818-008","1305000","BRD-008","Prospex","SBDC101","CUSTOMS-SERIAL-008","MAT-002","MOV-003","BLT-003","Customs sample 8; complete tag fields; Origin Japan"
"MRK-001","14400","TYP-001","CUSTOMS-20260818-009","1380000","BRD-009","Heritage Collection","SBGA211","CUSTOMS-SERIAL-009","MAT-003","MOV-004","BLT-004","Customs sample 9; complete tag fields; Origin Japan"
"MRK-002","15050","TYP-001","CUSTOMS-20260818-010","1455000","BRD-010","Classic Watch","OTHER-001","CUSTOMS-SERIAL-010","MAT-004","MOV-005","BLT-005","Customs sample 10; complete tag fields; Origin Japan"
