仕入日,仕入先コード,仕入担当者コード,仕入区分,SKU,売価（USD）,仕入金額（JPY・税抜）,ブランドコード,モデル名,型番（Ref.）,シリアルNo.,素材コード,駆動方式コード,ベルト素材コード,特徴・備考
2026-08-13,S004,,1,SAMPLE-PUR-202608-031,9925,933500,BRD-007,アクアレーサー,WBP201A.BA0632,SAMPLE-SN-401-031,M01,D01,BLT-001,仕入登録動作確認用サンプル 031
2026-08-13,S004,,1,SAMPLE-PUR-202608-032,10100,952000,BRD-008,プロスペックス,SBDC101,SAMPLE-SN-402-032,M01,D01,BLT-001,仕入登録動作確認用サンプル 032
2026-08-13,S004,,1,SAMPLE-PUR-202608-033,10275,970500,BRD-008,プレザージュ,SARX075,SAMPLE-SN-403-033,M01,D01,BLT-001,仕入登録動作確認用サンプル 033
2026-08-13,S004,,1,SAMPLE-PUR-202608-034,10450,989000,BRD-008,アストロン,SBXY061,SAMPLE-SN-404-034,M06,D04,BLT-004,仕入登録動作確認用サンプル 034
2026-08-13,S004,,1,SAMPLE-PUR-202608-035,10625,1007500,BRD-009,ヘリテージコレクション,SBGA211,SAMPLE-SN-405-035,M06,D01,BLT-004,仕入登録動作確認用サンプル 035
2026-08-13,S004,,1,SAMPLE-PUR-202608-036,10800,1026000,BRD-009,エレガンスコレクション,SBGW231,SAMPLE-SN-406-036,M01,D02,BLT-002,仕入登録動作確認用サンプル 036
2026-08-13,S004,,1,SAMPLE-PUR-202608-037,10975,1044500,BRD-009,スポーツコレクション,SBGC253,SAMPLE-SN-407-037,M06,D01,BLT-004,仕入登録動作確認用サンプル 037
2026-08-13,S004,,1,SAMPLE-PUR-202608-038,11150,1063000,BRD-010,クラシック オートマチック,OTHER-A01,SAMPLE-SN-408-038,M01,D01,BLT-002,仕入登録動作確認用サンプル 038
2026-08-13,S004,,1,SAMPLE-PUR-202608-039,11325,1081500,BRD-010,ヴィンテージ クロノグラフ,OTHER-C02,SAMPLE-SN-409-039,M01,D02,BLT-002,仕入登録動作確認用サンプル 039
2026-08-13,S004,,1,SAMPLE-PUR-202608-040,11500,1100000,BRD-010,モダン ダイバー,OTHER-D03,SAMPLE-SN-410-040,M06,D01,BLT-003,仕入登録動作確認用サンプル 040
